公司名稱,公司簡稱
台灣氣立股份有限公司,氣立
永新控股股份有限公司,永新-KY
強信機械科技股份有限公司,強信-KY
穎漢科技股份有限公司,穎漢
元翎精密工業股份有限公司,元翎
時碩工業股份有限公司,時碩工業
鈞興機電國際股份有限公司,鈞興-KY
駐龍精密機械股份有限公司,駐龍
大銀微系統股份有限公司,大銀微系統
World Known MFG(Cayman)Limited,光隆精密-KY
台灣精銳科技股份有限公司,台灣精銳
德淵企業股份有限公司,德淵
國精化學股份有限公司,國精化
華廣生技股份有限公司,華廣
康普材料科技股份有限公司,康普
台耀化學股份有限公司,台耀
三福化工股份有限公司,三福化
濟南大自然新材料股份有限公司,材料-KY
雙鍵化工股份有限公司,雙鍵
南寶樹脂化學工廠股份有限公司,南寶
上品綜合工業股份有限公司,上品
日成控股股份有限公司,日成-KY
遠傳電信股份有限公司,遠傳
正文科技股份有限公司,正文
聯德控股股份有限公司,聯德控股-KY
致伸科技股份有限公司,致伸
事欣科技股份有限公司,事欣科
新唐科技股份有限公司,新唐
泰鼎國際股份有限公司,泰鼎-KY
燦星網通股份有限公司,燦星網
太極能源科技股份有限公司,太極
茂林光電科技(開曼)股份有限公司,茂林-KY
和碩聯合科技股份有限公司,和碩
嘉彰股份有限公司,嘉彰
開曼康而富控股股份有限公司,康控-KY
凌通科技股份有限公司,凌通
光鋐科技股份有限公司,光鋐
臻鼎科技控股股份有限公司,臻鼎-KY
誠美材料科技股份有限公司,誠美材
天鈺科技股份有限公司,天鈺
十銓科技股份有限公司,十銓
立積電子股份有限公司,立積
佳凌科技股份有限公司,佳凌
眾達科技股份有限公司,眾達-KY
李長榮科技股份有限公司,榮科
傳奇網路遊戲股份有限公司,傳奇
鑫禾科技股份有限公司,鑫禾
三星科技股份有限公司,三星
訊連科技股份有限公司,訊連
科嘉(開曼)股份有限公司,科嘉-KY
全訊科技股份有限公司,全訊
東科控股股份有限公司,東科-KY
達興材料股份有限公司,達興材料
乙盛精密工業股份有限公司,乙盛-KY
弘凱光電股份有限公司,弘凱
虹堡科技股份有限公司,虹堡
祥碩科技股份有限公司,祥碩
禾聯碩股份有限公司,禾聯碩
經寶精密控股股份有限公司,jpp-KY
界霖科技股份有限公司,界霖
開曼商豐祥控股股份有限公司,豐祥-KY
桂盟國際股份有限公司,桂盟
中磊電子股份有限公司,中磊
崇越科技股份有限公司,崇越
瀚宇博德股份有限公司,瀚宇博
松翰科技股份有限公司,松翰
慧友電子股份有限公司,慧友
建國工程股份有限公司,建國
隆大營建事業股份有限公司,隆大
工信工程股份有限公司,工信
遠雄建設事業股份有限公司,遠雄
順天建設股份有限公司,順天
鄉林建設事業股份有限公司,鄉林
皇鼎建設開發股份有限公司,皇鼎
長虹建設股份有限公司,長虹
開曼東明控股股份有限公司,東明-KY
永固集團股份有限公司,永固-KY
遠雄自貿港投資控股股份有限公司,遠雄港
四維航業股份有限公司,四維航
鳳凰國際旅行社股份有限公司,鳳凰
中租控股股份有限公司,中租-KY
上海商業儲蓄銀行股份有限公司,上海商銀
合作金庫金融控股股份有限公司,合庫金
台南生活(開曼)股份有限公司,台南-KY
Grand Ocean RetailGroupLimited,大洋-KY
群益金鼎證券股份有限公司,群益證
群益期貨股份有限公司,群益期
競國實業股份有限公司,競國
聚碩科技股份有限公司,聚碩
鎰勝工業股份有限公司,鎰勝
瀚宇彩晶股份有限公司,彩晶
迎廣科技股份有限公司,迎廣
達運精密工業股份有限公司,達運
上福全球科技股份有限公司,上福
金橋科技股份有限公司,金橋
富爾特科技股份有限公司,富爾特
亞翔工程股份有限公司,亞翔
柏承科技股份有限公司,柏承
友勁科技股份有限公司,友勁
百一電子股份有限公司,百一
嘉聯益科技股份有限公司,嘉聯益
鈞寶電子工業股份有限公司,鈞寶
華興電子工業股份有限公司,華興
浪凡網路科技股份有限公司,浪凡
凌華科技股份有限公司,凌華
宏齊科技股份有限公司,宏齊
互億科技股份有限公司,互億
瑞儀光電股份有限公司,瑞儀
達麗建設事業股份有限公司,達麗
關貿網路股份有限公司,關貿
大豐有線電視股份有限公司,大豐電
豐藝電子股份有限公司,豐藝
精成科技股份有限公司,精成科
巨路國際股份有限公司,巨路
帆宣系統科技股份有限公司,帆宣
佳必琪國際股份有限公司,佳必琪
亞弘電科技股份有限公司,亞弘電
盛群半導體股份有限公司,盛群
詮欣股份有限公司,詮欣
飛捷科技股份有限公司,飛捷
今國光學工業股份有限公司,今國光
聯茂電子股份有限公司,聯茂
精誠資訊股份有限公司,精誠
